age	lt	dt	wt	lt1	qt	qt_smooth	pt	cm	qt_l95	qt_u95
1	13	0	0	13	0	0	1	47	0	0
2	13	0	0	13	0	0	1	47	0	0
3	13	0	0	13	0	0	1	47	0	0
4	13	0	0	13	0	0	1	47	0	0
5	13	0	0	13	0	0	1	47	0	0
6	13	0	0	13	0	0	1	47	0	0
7	13	0	0	13	0	0	1	47	0	0
8	13	0	0	13	0	0	1	47	0	0
9	13	0	0	13	0	0	1	47	0	0
10	13	0	0	13	0	0	1	47	0	0
11	13	0	0	13	0	0	1	47	0	0
12	13	0	0	13	0	0	1	47	0	0
13	13	0	0	13	0	0	1	47	0	0
14	13	0	0	13	0	0	1	47	0	0
15	13	0	0	13	0	0	1	47	0	0
16	13	0	0	13	0	0	1	47	0	0
17	13	0	0	13	0	0	1	47	0	0
18	13	0	0	13	0	0	1	47	0	0
19	13	0	0	13	0	0	1	47	0	0
20	13	0	0	13	0	0	1	47	0	0
21	13	0	0	13	0	0	1	47	0	0
22	13	0	0	13	0	0	1	47	0	0
23	13	0	0	13	0	0	1	47	0	0
24	13	0	0	13	0	0.000680534721115178	1	47	0	0.00204160416334554
25	13	0	0	13	0	0.00140122350481628	1	47	0	0.00420367051444884
26	13	0	0	13	0	0.00258172272271182	1	47	0	0.00774516816813547
27	13	0	0	13	0	0.00425654116798483	1	47	0	0.0127696235039545
28	13	0	0	13	0	0.00627984806663591	1	47	0	0.0188395441999077
29	13	0	0	13	0	0.00829061013003469	1	47	0	0.0248718303901041
30	13	0	0	13	0	0.00979419860612588	1	47	0	0.0293825958183777
31	13	1	0	13	0.0769230769230769	0.0110909650321025	0.923076923076923	48	0	0.0328305475275826
32	12	0	0	12	0	0.012116459043116	0.923076923076923	48	0	0.0330257769309
33	12	0	0	12	0	0.0136281629652051	0.923076923076923	48	0.00136106944223036	0.032690178390967
34	12	0	0	12	0	0.0157638184089946	0.923076923076923	48	0.00258172272271182	0.034448641012855
35	12	0	0	12	0	0.0204294017875142	0.923076923076923	48	0.00425654116798483	0.0431807234349902
36	12	0	0	12	0	0.0265423486797926	0.923076923076923	48	0.00425654116798483	0.0559771080843599
37	12	0	0	12	0	0.0337025566487041	0.923076923076923	48	0.00585357386374653	0.0714042299404011
38	12	1	0	12	0.0833333333333333	0.0403981561297762	0.846153846153846	48	0.00639152718621243	0.0857657656529482
39	11	1	0	11	0.0909090909090909	0.0457558140480645	0.769230769230769	51	0.00919102889910554	0.0970762335013267
40	10	1	0	10	0.1	0.0495324552411581	0.692307692307692	51	0.0115673840649405	0.102463375057612
41	9	0	0	9	0	0.0517528600246508	0.692307692307692	51	0.0153311695939452	0.103658091810256
42	9	1	0	9	0.111111111111111	0.0525135483078042	0.615384615384615	51	0.0172022123434801	0.102203837233141
43	8	0	0	8	0	0.0538417929783671	0.615384615384615	51	0.0191674703488481	0.102946995725841
44	8	0	0	8	0	0.059974051102063	0.615384615384615	51	0.0227783220252215	0.109469149201643
45	8	0	0	8	0	0.0670254883760509	0.615384615384615	51	0.0242924550866002	0.120624445012168
46	8	1	0	8	0.125	0.0781251461650294	0.538461538461538	51	0.0272672395986892	0.133576469483252
47	7	1	0	7	0.142857142857143	0.0891845045994563	0.461538461538462	53	0.0308966237520383	0.148614435974358
48	6	1	0	6	0.166666666666667	0.0999611900451531	0.384615384615385	53	0.0361447869313155	0.155996795226355
49	5	0	0	5	0	0.109361543140521	0.384615384615385	53	0.0398045038034459	0.160164521245383
50	5	0	0	5	0	0.114684950701223	0.384615384615385	53	0.0398002180254767	0.164366530069287
51	5	2	0	5	0.4	0.119895434083758	0.230769230769231	58	0.0380721430162899	0.173133135767591
52	3	0	0	3	0	0.118773434799274	0.230769230769231	58	0.01377648225462	0.178174544394359
53	3	1	0	3	0.333333333333333	0.114060360116379	0.153846153846154	61	0.00780547040949995	0.177325255020861
54	2	0	0	2	0	0.108019734628154	0.153846153846154	61	0	0.140094020836726
55	2	0	0	2	0	0.103144891063191	0.153846153846154	61	0	0.123726634711528
56	2	0	0	2	0	0.100627145016883	0.153846153846154	61	0	0.117206575167207
57	2	0	0	2	0	0.101119512653604	0.153846153846154	61	0	0.123972290112394
58	2	1	0	2	0.5	0.102224884362562	0.0769230769230769	61	0	0.130533513671036
59	1	0	0	1	0	0.100391411704044	0.0769230769230769	61	0	0.137475051198432
60	1	0	0	1	0	0.100190432556434	0.0769230769230769	61	0	0.14248821867855
61	1	1	0	1	1	0.0943354160308733	0	NA	0	0.14150312404631
62	0	0	0	0	NA	NA	0	NA	NA	NA
63	0	0	0	0	NA	NA	0	NA	NA	NA
64	0	0	0	0	NA	NA	0	NA	NA	NA
65	0	0	0	0	NA	NA	0	NA	NA	NA
66	0	0	0	0	NA	NA	0	NA	NA	NA
67	0	0	0	0	NA	NA	0	NA	NA	NA
68	0	0	0	0	NA	NA	0	NA	NA	NA
69	0	0	0	0	NA	NA	0	NA	NA	NA
70	0	0	0	0	NA	NA	0	NA	NA	NA
71	0	0	0	0	NA	NA	0	NA	NA	NA
72	0	0	0	0	NA	NA	0	NA	NA	NA
73	0	0	0	0	NA	NA	0	NA	NA	NA
74	0	0	0	0	NA	NA	0	NA	NA	NA
75	0	0	0	0	NA	NA	0	NA	NA	NA
76	0	0	0	0	NA	NA	0	NA	NA	NA
77	0	0	0	0	NA	NA	0	NA	NA	NA
78	0	0	0	0	NA	NA	0	NA	NA	NA
79	0	0	0	0	NA	NA	0	NA	NA	NA
80	0	0	0	0	NA	NA	0	NA	NA	NA
81	0	0	0	0	NA	NA	0	NA	NA	NA
82	0	0	0	0	NA	NA	0	NA	NA	NA
83	0	0	0	0	NA	NA	0	NA	NA	NA
84	0	0	0	0	NA	NA	0	NA	NA	NA
85	0	0	0	0	NA	NA	0	NA	NA	NA
86	0	0	0	0	NA	NA	0	NA	NA	NA
87	0	0	0	0	NA	NA	0	NA	NA	NA
88	0	0	0	0	NA	NA	0	NA	NA	NA
89	0	0	0	0	NA	NA	0	NA	NA	NA
90	0	0	0	0	NA	NA	0	NA	NA	NA
91	0	0	0	0	NA	NA	0	NA	NA	NA
92	0	0	0	0	NA	NA	0	NA	NA	NA
93	0	0	0	0	NA	NA	0	NA	NA	NA
94	0	0	0	0	NA	NA	0	NA	NA	NA
95	0	0	0	0	NA	NA	0	NA	NA	NA
96	0	0	0	0	NA	NA	0	NA	NA	NA
97	0	0	0	0	NA	NA	0	NA	NA	NA
98	0	0	0	0	NA	NA	0	NA	NA	NA
99	0	0	0	0	NA	NA	0	NA	NA	NA
