months	alive	dead	censored
0	6	0	0
1	6	0	0
2	6	0	0
3	6	0	0
4	6	0	0
5	6	0	0
6	6	0	0
7	6	0	0
8	6	0	0
9	6	0	0
10	6	0	0
11	6	0	0
12	6	0	0
13	6	0	0
14	6	0	0
15	6	0	0
16	6	0	0
17	6	0	0
18	6	0	0
19	6	0	0
20	6	0	0
21	6	0	0
22	6	0	0
23	6	0	0
24	6	0	0
25	6	0	0
26	6	0	0
27	6	0	0
28	6	1	0
29	5	0	0
30	5	0	0
31	5	0	0
32	5	0	0
33	5	0	0
34	5	0	0
35	5	0	0
36	5	0	0
37	5	0	0
38	5	0	0
39	5	0	0
40	5	0	0
41	5	0	0
42	5	0	0
43	5	0	0
44	5	0	0
45	5	0	0
46	5	0	0
47	5	0	0
48	5	0	0
49	5	0	0
50	5	1	0
51	4	0	0
52	4	0	0
53	4	0	0
54	4	0	0
55	4	0	0
56	4	0	0
57	4	0	0
58	4	0	0
59	4	0	0
60	4	0	0
61	4	0	0
62	4	0	0
63	4	0	0
64	4	0	0
65	4	0	0
66	4	0	0
67	4	0	0
68	4	0	0
69	4	0	0
70	4	0	0
71	4	0	0
72	4	0	0
73	4	0	0
74	4	0	0
75	4	0	0
76	4	0	0
77	4	0	0
78	4	0	0
79	4	0	0
80	4	0	0
81	4	0	0
82	4	0	0
83	4	0	0
84	4	0	0
85	4	0	0
86	4	0	0
87	4	0	0
88	4	0	0
89	4	0	0
90	4	0	0
91	4	0	0
92	4	0	0
93	4	0	0
94	4	0	0
95	4	0	0
96	4	0	0
97	4	0	0
98	4	0	0
99	4	0	0
100	4	0	0
101	4	0	0
102	4	0	0
103	4	0	0
104	4	0	0
105	4	1	0
106	3	0	0
107	3	0	0
108	3	0	0
109	3	0	0
110	3	0	0
111	3	0	0
112	3	0	0
113	3	0	0
114	3	0	0
115	3	0	0
116	3	0	0
117	3	0	0
118	3	0	0
119	3	0	0
120	3	0	0
121	3	0	0
122	3	0	0
123	3	0	0
124	3	0	0
125	3	0	0
126	3	0	0
127	3	0	0
128	3	0	0
129	3	0	0
130	3	0	0
131	3	0	0
132	3	0	0
