age	lt	dt	wt	lt1	qt	qt_smooth	pt	cm	qt_l95	qt_u95
1	206	0	0	206	0	0	1	56	0	0
2	206	0	0	206	0	0	1	56	0	0
3	206	0	0	206	0	0	1	56	0	0
4	206	0	0	206	0	0	1	56	0	0
5	206	0	0	206	0	0	1	56	0	0
6	206	0	0	206	0	0	1	56	0	0
7	206	0	0	206	0	0	1	56	0	0
8	206	0	0	206	0	0	1	56	0	0
9	206	0	0	206	0	0	1	56	0	0
10	206	0	0	206	0	0	1	56	0	0
11	206	0	0	206	0	0	1	56	0	0
12	206	0	0	206	0	0	1	56	0	0
13	206	0	0	206	0	0	1	56	0	0
14	206	0	0	206	0	0	1	56	0	0
15	206	0	0	206	0	4.30508582700599e-05	1	56	0	0.000129467581090205
16	206	0	0	206	0	8.86418762170882e-05	1	56	0	0.000266574227745536
17	206	0	0	206	0	0.000163320658857682	1	56	0	0.000491157005784201
18	206	0	0	206	0	0.00026927024420342	1	56	0	0.000809781002689797
19	206	0	0	206	0	0.000484213252872869	1	56	0	0.00132707614019525
20	206	0	0	206	0	0.000703492919773553	1	56	0	0.00184979521520132
21	206	0	0	206	0	0.00108214016246046	1	56	0.000130743123761044	0.00252806564307849
22	206	1	1	205.5	0.0048661800486618	0.00147205164914139	0.995133819951338	56	0.000269200574816921	0.00309314824097786
23	204	0	0	204	0	0.00192535958170068	0.995133819951338	56	0.000491157005784201	0.00373203192513432
24	204	0	0	204	0	0.0024587575738368	0.995133819951338	56	0.000797053201093884	0.00458231325255458
25	204	0	0	204	0	0.00296588475234964	0.995133819951338	56	0.000897223238357349	0.00551891335951823
26	204	2	1	203.5	0.00982800982800983	0.00337957410184922	0.985353634988672	56	0.00107777931690451	0.00636934427355131
27	201	0	1	200.5	0	0.00369734554587325	0.985353634988672	56	0.00128657817280882	0.00688182005998285
28	200	3	0	200	0.015	0.00381619106847398	0.970573330463842	56	0.0014115911710333	0.00698995269568172
29	197	0	0	197	0	0.00383726391784288	0.970573330463842	56	0.00147677990496627	0.00676374525192838
30	197	0	0	197	0	0.00379140881232341	0.970573330463842	56	0.00159224696149164	0.00657712777887865
31	197	1	1	196.5	0.00508905852417303	0.0040070549714726	0.965634025983109	56	0.00181769996805402	0.00668893465953935
32	195	0	1	194.5	0	0.00453592706984251	0.965634025983109	56	0.00220607916497286	0.00732453167541005
33	194	0	0	194	0	0.00562934328834249	0.965634025983109	56	0.00301819141863399	0.00882222410436403
34	194	2	0	194	0.0103092783505155	0.00709712864931181	0.955679036024521	56	0.00403389380666384	0.0106291830128699
35	192	1	0	192	0.00520833333333333	0.00915016571871089	0.950701541045226	56	0.00560307720441288	0.0132150525701977
36	191	2	0	191	0.0104712041884817	0.0114962220054327	0.940746551086638	56	0.00740540583036239	0.0162224453394754
37	189	1	1	188.5	0.00530503978779841	0.0140660301649509	0.935755853202889	56	0.00915379743117659	0.0194031044969237
38	187	4	1	186.5	0.0214477211796247	0.0165252412674223	0.915686022571191	57	0.0109344676545739	0.0224197395773337
39	182	4	0	182	0.021978021978022	0.0185912911526253	0.895561055042154	57	0.0124129112845405	0.0249602441450762
40	178	7	0	178	0.0393258426966292	0.0200928275470054	0.860342361866339	57	0.0135905070026246	0.0270556262395027
41	171	3	0	171	0.0175438596491228	0.020782274806223	0.845248636219561	57	0.0141541377052364	0.0277111889883122
42	168	4	0	168	0.0238095238095238	0.0209532884302632	0.825123668690524	57	0.0144720541158646	0.0277729780305781
43	164	3	0	164	0.0182926829268293	0.0208707519028456	0.810029943043746	57	0.0143023970376609	0.0277198931382555
44	161	2	0	161	0.0124223602484472	0.0208163908256849	0.799967459279228	58	0.0141867779179964	0.0275358667986382
45	159	3	0	159	0.0188679245283019	0.0213444509615016	0.78487373363245	58	0.015009929982372	0.0282256755198377
46	156	4	0	156	0.0256410256410256	0.0222095686804982	0.764748766103413	58	0.0153634165627945	0.0292462373464361
47	152	4	1	151.5	0.0264026402640264	0.0242253318588489	0.744557379539626	58	0.0169625029016364	0.0315342899223762
48	147	1	0	147	0.00680272108843537	0.0269739867174365	0.739492363352282	58	0.0194304564604063	0.0351637634270369
49	146	4	1	145.5	0.0274914089347079	0.031384518685553	0.71916267638727	58	0.022830144241972	0.040117671826208
50	141	4	1	140.5	0.0284697508896797	0.037216598790033	0.69868829414137	58	0.0277509056679577	0.0467612909816214
51	136	5	1	135.5	0.03690036900369	0.0448513608397444	0.672906438268994	58	0.0344824008699836	0.0554834380653942
52	130	9	0	130	0.0692307692307692	0.0539018350031599	0.626320607927295	59	0.0421186526231048	0.0655564101974407
53	121	4	0	121	0.0330578512396694	0.0645794497000647	0.605615794442095	59	0.0510333495083586	0.0779119065180149
54	117	10	1	116.5	0.0858369098712446	0.075914276689005	0.553631606077967	60	0.0608411833673837	0.0916684787618038
55	106	5	0	106	0.0471698113207547	0.0880348808023401	0.527516907678062	60	0.0706721880019249	0.105847498527422
56	101	12	0	101	0.118811881188119	0.100616143915362	0.464841631518293	62	0.0811666271936084	0.121647900216328
57	89	12	1	88.5	0.135593220338983	0.110309489384718	0.4018122577531	63	0.0888045311536227	0.133951146063597
58	76	13	0	76	0.171052631578947	0.119076821519655	0.333081213663754	63	0.0956614513529333	0.144959566484578
59	63	8	0	63	0.126984126984127	0.125935397378525	0.290785186531849	65	0.0999670451359673	0.155128849642151
60	55	8	0	55	0.145454545454545	0.130186122311058	0.248489159399944	65	0.102713519931125	0.161650982363579
61	47	3	0	47	0.0638297872340425	0.135580652559097	0.232628149225479	66	0.106695499805339	0.168875720437109
62	44	6	0	44	0.136363636363636	0.141639786726907	0.20090612887655	66	0.110992842804652	0.177896815563692
63	38	9	0	38	0.236842105263158	0.149776168880482	0.153323098353157	68	0.116391270256882	0.189168618363244
64	29	0	0	29	0	0.157720135989795	0.153323098353157	68	0.120661313033084	0.203230908164866
65	29	7	0	29	0.241379310344828	0.170082932129698	0.11631407461274	69	0.127556607627439	0.21815304643722
66	22	5	0	22	0.227272727272727	0.183446247116057	0.0898790576552988	69	0.13599622813994	0.234702312393847
67	17	1	0	17	0.0588235294117647	0.195447806501077	0.0845920542638106	70	0.142702435834285	0.250460771419883
68	16	5	0	16	0.3125	0.20710666844966	0.0581570373063698	72	0.145966085710499	0.269063356587431
69	11	3	0	11	0.272727272727273	0.217243371551433	0.0422960271319053	72	0.148604876819602	0.282304767065759
70	8	2	0	8	0.25	0.224331873437697	0.031722020348929	73	0.146660902409846	0.295594102809465
71	6	0	0	6	0	0.228049754847779	0.031722020348929	73	0.136281150981868	0.310346064440579
72	6	3	0	6	0.5	0.229924749148636	0.0158610101744645	75	0.120063957913183	0.326654473562284
73	3	1	0	3	0.333333333333333	0.226885026980121	0.0105740067829763	75	0.0437907718514471	0.346860179793324
74	2	0	0	2	0	0.221277445186131	0.0105740067829763	75	0.0351089732118623	0.304965310645656
75	2	2	0	2	1	0.214624584680517	0	NA	0.0255473160856843	0.310187324497133
76	0	0	0	0	NA	NA	0	NA	NA	NA
77	0	0	0	0	NA	NA	0	NA	NA	NA
78	0	0	0	0	NA	NA	0	NA	NA	NA
79	0	0	0	0	NA	NA	0	NA	NA	NA
80	0	0	0	0	NA	NA	0	NA	NA	NA
81	0	0	0	0	NA	NA	0	NA	NA	NA
82	0	0	0	0	NA	NA	0	NA	NA	NA
83	0	0	0	0	NA	NA	0	NA	NA	NA
84	0	0	0	0	NA	NA	0	NA	NA	NA
85	0	0	0	0	NA	NA	0	NA	NA	NA
86	0	0	0	0	NA	NA	0	NA	NA	NA
87	0	0	0	0	NA	NA	0	NA	NA	NA
88	0	0	0	0	NA	NA	0	NA	NA	NA
89	0	0	0	0	NA	NA	0	NA	NA	NA
90	0	0	0	0	NA	NA	0	NA	NA	NA
91	0	0	0	0	NA	NA	0	NA	NA	NA
92	0	0	0	0	NA	NA	0	NA	NA	NA
93	0	0	0	0	NA	NA	0	NA	NA	NA
94	0	0	0	0	NA	NA	0	NA	NA	NA
95	0	0	0	0	NA	NA	0	NA	NA	NA
96	0	0	0	0	NA	NA	0	NA	NA	NA
97	0	0	0	0	NA	NA	0	NA	NA	NA
98	0	0	0	0	NA	NA	0	NA	NA	NA
99	0	0	0	0	NA	NA	0	NA	NA	NA
100	0	0	0	0	NA	NA	0	NA	NA	NA
