hazard_ratio	followup	stratify	n	w	power
0.9	15	FALSE	240	0.152	0.1
0.1	15	FALSE	270	0.152	1
0.2	15	FALSE	270	0.152	1
0.3	15	FALSE	270	0.152	1
0.4	15	FALSE	270	0.152	1
0.5	15	FALSE	270	0.152	0.96
0.6	15	FALSE	270	0.152	0.89
0.7	15	FALSE	270	0.152	0.64
0.8	15	FALSE	270	0.152	0.33
0.9	15	FALSE	270	0.152	0.06
0.1	15	FALSE	300	0.152	1
0.2	15	FALSE	300	0.152	1
0.3	15	FALSE	300	0.152	1
0.4	15	FALSE	300	0.152	1
0.5	15	FALSE	300	0.152	0.99
0.6	15	FALSE	300	0.152	0.94
0.7	15	FALSE	300	0.152	0.65
0.8	15	FALSE	300	0.152	0.25
0.9	15	FALSE	300	0.152	0.02
0.1	15	FALSE	400	0.152	1
0.2	15	FALSE	400	0.152	1
0.3	15	FALSE	400	0.152	1
0.4	15	FALSE	400	0.152	1
0.5	15	FALSE	400	0.152	1
0.6	15	FALSE	400	0.152	0.98
0.7	15	FALSE	400	0.152	0.86
0.8	15	FALSE	400	0.152	0.39
0.9	15	FALSE	400	0.152	0.06
0.1	15	FALSE	500	0.152	1
0.2	15	FALSE	500	0.152	1
0.3	15	FALSE	500	0.152	1
0.4	15	FALSE	500	0.152	1
0.5	15	FALSE	500	0.152	1
0.6	15	FALSE	500	0.152	0.99
0.7	15	FALSE	500	0.152	0.84
0.8	15	FALSE	500	0.152	0.39
0.9	15	FALSE	500	0.152	0.08
0.1	15	FALSE	600	0.152	1
0.2	15	FALSE	600	0.152	1
0.3	15	FALSE	600	0.152	1
0.4	15	FALSE	600	0.152	1
0.5	15	FALSE	600	0.152	1
0.6	15	FALSE	600	0.152	1
0.7	15	FALSE	600	0.152	0.9
0.8	15	FALSE	600	0.152	0.48
0.9	15	FALSE	600	0.152	0.08
0.1	15	FALSE	700	0.152	1
0.2	15	FALSE	700	0.152	1
0.3	15	FALSE	700	0.152	1
0.4	15	FALSE	700	0.152	1
0.5	15	FALSE	700	0.152	1
0.6	15	FALSE	700	0.152	1
0.7	15	FALSE	700	0.152	0.99
0.8	15	FALSE	700	0.152	0.59
0.9	15	FALSE	700	0.152	0.1
0.1	15	FALSE	800	0.152	1
0.2	15	FALSE	800	0.152	1
0.3	15	FALSE	800	0.152	1
0.4	15	FALSE	800	0.152	1
0.5	15	FALSE	800	0.152	1
0.6	15	FALSE	800	0.152	1
0.7	15	FALSE	800	0.152	0.99
0.8	15	FALSE	800	0.152	0.56
0.9	15	FALSE	800	0.152	0.12
0.1	15	FALSE	900	0.152	1
0.2	15	FALSE	900	0.152	1
0.3	15	FALSE	900	0.152	1
0.4	15	FALSE	900	0.152	1
0.5	15	FALSE	900	0.152	1
0.6	15	FALSE	900	0.152	1
