hr	benefit	deaths	fu5	calc_power	sim_power_nostrat	sim_power_strat
0.1	NA	6	101	0.8	0.622	0.35
0.2	20	12	189	0.8	0.718	0.692
0.3	13	22	311	0.8	0.786	0.766
0.4	10	37	498	0.8	0.8	0.812
0.5	7	65	813	0.8	0.8	0.818
0.6	5	120	1406	0.8	0.832	0.798
0.7	4	247	2724	0.8	0.804	0.808
0.8	2	631	6602	0.8	0.814	0.776
0.9	1	2,828	28204	0.8	0.806	0.78
